query_image_path,query_label,group,conv_correct,dino_correct,conv_topk_image_paths,conv_topk_labels,conv_topk_scores,dino_topk_image_paths,dino_topk_labels,dino_topk_scores
/kaggle/input/rsna-png/data/test/af1d168c-4850-41e1-85b8-ff8fc645e671.png,normal,dino_correct_conv_wrong,False,True,"[""/kaggle/input/rsna-png/data/test/covid-19-pneumonia-mild.JPG"", ""/kaggle/input/rsna-png/data/test/DX.1.2.840.113564.1722810162.20200328170109600900.1203801020003.png"", ""/kaggle/input/rsna-png/data/test/COVID-106.png"", ""/kaggle/input/rsna-png/data/test/COVID-119.png"", ""/kaggle/input/rsna-png/data/test/ad446933-fb8e-4739-bb40-2063e796ffd8.png""]","[""COVID-19"", ""COVID-19"", ""COVID-19"", ""COVID-19"", ""normal""]","[null, null, null, null, null]","[""/kaggle/input/rsna-png/data/test/35cda03a-0898-4f8b-92d3-6f263aed23ff.png"", ""/kaggle/input/rsna-png/data/test/0bb24183-8b59-48f1-8bbf-4d889976fc82.png"", ""/kaggle/input/rsna-png/data/test/2f8fbfdc-56db-4eca-bf64-3c9a0637e28c.png"", ""/kaggle/input/rsna-png/data/test/63f71157-7db6-476f-b320-ba2fcbe2543f.png"", ""/kaggle/input/rsna-png/data/test/e4cd65ae-65de-44fc-a6b2-ebbc46d2e8d8.png""]","[""normal"", ""normal"", ""normal"", ""normal"", ""normal""]","[null, null, null, null, null]"
/kaggle/input/rsna-png/data/test/d3ad2915-af30-426c-ad2d-1634df8c1b5f.png,normal,dino_correct_conv_wrong,False,True,"[""/kaggle/input/rsna-png/data/test/aef87dc2-a097-4683-9fb1-d1af6838a16a.png"", ""/kaggle/input/rsna-png/data/test/45dd0d26-0740-4c32-bd01-34246a41f3e3.png"", ""/kaggle/input/rsna-png/data/test/ca3c90e4-f7fe-4f6e-b20b-81473deab4f0.png"", ""/kaggle/input/rsna-png/data/test/a52aa522-a1b3-4f15-8609-f44bf96da2e3.png"", ""/kaggle/input/rsna-png/data/test/cb7d021b-b273-436a-bd7a-e68c11ed3f6b.png""]","[""pneumonia"", ""normal"", ""normal"", ""normal"", ""normal""]","[null, null, null, null, null]","[""/kaggle/input/rsna-png/data/test/d1e0d69c-a4df-485a-983c-535494221d1a.png"", ""/kaggle/input/rsna-png/data/test/47c78742-4998-4878-aec4-37b11b1354ac.png"", ""/kaggle/input/rsna-png/data/test/33e4e43b-054b-4537-9cd6-0fe574f7d337.png"", ""/kaggle/input/rsna-png/data/test/e4cd65ae-65de-44fc-a6b2-ebbc46d2e8d8.png"", ""/kaggle/input/rsna-png/data/test/a7aef71b-0fc8-4837-be79-4ced56e03439.png""]","[""normal"", ""normal"", ""normal"", ""normal"", ""normal""]","[null, null, null, null, null]"
/kaggle/input/rsna-png/data/test/dee054ff-0e1a-4167-b814-cbf339cf689c.png,normal,dino_correct_conv_wrong,False,True,"[""/kaggle/input/rsna-png/data/test/32a5977f-f8ab-41c9-9b51-5387248e4675.png"", ""/kaggle/input/rsna-png/data/test/372b2fea-2013-4600-a06f-765c3f054a82.png"", ""/kaggle/input/rsna-png/data/test/cb7d021b-b273-436a-bd7a-e68c11ed3f6b.png"", ""/kaggle/input/rsna-png/data/test/5eb932e2-3455-40fe-93db-ae44f897d9e0.png"", ""/kaggle/input/rsna-png/data/test/ec0492da-e6be-49cf-8b18-dc143180f1a2.png""]","[""pneumonia"", ""normal"", ""normal"", ""normal"", ""normal""]","[null, null, null, null, null]","[""/kaggle/input/rsna-png/data/test/5eb932e2-3455-40fe-93db-ae44f897d9e0.png"", ""/kaggle/input/rsna-png/data/test/585f5059-8938-4885-accb-d7d0b1097c60.png"", ""/kaggle/input/rsna-png/data/test/dfa57c1f-01fb-4417-a1b5-0641a9b4bb84.png"", ""/kaggle/input/rsna-png/data/test/5d4c7318-4739-4470-89f3-70bbbca95f10.png"", ""/kaggle/input/rsna-png/data/test/0d9b1283-fc24-4fd3-a520-bc5d563e13e1.png""]","[""normal"", ""normal"", ""normal"", ""normal"", ""pneumonia""]","[null, null, null, null, null]"
/kaggle/input/rsna-png/data/test/e155c13d-7ac7-4765-bb86-899349978413.png,normal,dino_correct_conv_wrong,False,True,"[""/kaggle/input/rsna-png/data/test/adce8349-6836-4328-ab63-f356d0bbe298.png"", ""/kaggle/input/rsna-png/data/test/5f137fa7-6539-499e-b0d5-0e481221bf5a.png"", ""/kaggle/input/rsna-png/data/test/af169d21-1c39-445e-82d8-5035182a3a8c.png"", ""/kaggle/input/rsna-png/data/test/0a8d486f-1aa6-4fcf-b7be-4bf04fc8628b.png"", ""/kaggle/input/rsna-png/data/test/b479635e-4c58-4d27-879b-fb0e87b2a1aa.png""]","[""pneumonia"", ""normal"", ""pneumonia"", ""pneumonia"", ""pneumonia""]","[null, null, null, null, null]","[""/kaggle/input/rsna-png/data/test/76b180ab-242f-45d3-bce1-68df00c5ef45.png"", ""/kaggle/input/rsna-png/data/test/e8485b0f-293d-4ca8-8b71-92db61c8ee3e.png"", ""/kaggle/input/rsna-png/data/test/fc958b63-5da8-448d-8962-3c5167dc9410.png"", ""/kaggle/input/rsna-png/data/test/f6236cb5-cc36-4ec4-895c-d11ce043341d.png"", ""/kaggle/input/rsna-png/data/test/e4cd65ae-65de-44fc-a6b2-ebbc46d2e8d8.png""]","[""normal"", ""normal"", ""normal"", ""normal"", ""normal""]","[null, null, null, null, null]"
/kaggle/input/rsna-png/data/test/34bf2fcd-131a-428c-9a21-cd2fa9041f9b.png,normal,dino_correct_conv_wrong,False,True,"[""/kaggle/input/rsna-png/data/test/b51c3c24-f9aa-4039-9fc1-527a5567dff6.png"", ""/kaggle/input/rsna-png/data/test/e1d23cbe-213d-48d6-a8c2-672c4e68285d.png"", ""/kaggle/input/rsna-png/data/test/16654_1_1.png"", ""/kaggle/input/rsna-png/data/test/3e1b619a-cdd9-495a-bcbf-a9d62b418991.png"", ""/kaggle/input/rsna-png/data/test/SARS-10.1148rg.242035193-g04mr34g05x-Fig5-day9.jpeg""]","[""pneumonia"", ""normal"", ""COVID-19"", ""normal"", ""pneumonia""]","[null, null, null, null, null]","[""/kaggle/input/rsna-png/data/test/71d8d6ec-253b-4272-a467-311828b2a35b.png"", ""/kaggle/input/rsna-png/data/test/cdac0980-033c-4685-b7e4-0a12c86a00a9.png"", ""/kaggle/input/rsna-png/data/test/633d9182-1809-41b7-a59b-1e60ac91f0c9.png"", ""/kaggle/input/rsna-png/data/test/275f9fff-2439-4f3f-9c48-7c21f348701a.png"", ""/kaggle/input/rsna-png/data/test/ff332704-48e0-445b-9188-b2a696d1f0d7.png""]","[""normal"", ""normal"", ""normal"", ""normal"", ""normal""]","[null, null, null, null, null]"
/kaggle/input/rsna-png/data/test/ad446933-fb8e-4739-bb40-2063e796ffd8.png,normal,dino_correct_conv_wrong,False,True,"[""/kaggle/input/rsna-png/data/test/COVID-119.png"", ""/kaggle/input/rsna-png/data/test/63f71157-7db6-476f-b320-ba2fcbe2543f.png"", ""/kaggle/input/rsna-png/data/test/DX.1.2.840.113564.1722810162.20200326160333805210.1203801020003.png"", ""/kaggle/input/rsna-png/data/test/covid-19-pneumonia-mild.JPG"", ""/kaggle/input/rsna-png/data/test/c2b24ebd-2c40-48c3-ba39-177224dd7db0.png""]","[""COVID-19"", ""normal"", ""COVID-19"", ""COVID-19"", ""normal""]","[null, null, null, null, null]","[""/kaggle/input/rsna-png/data/test/63f71157-7db6-476f-b320-ba2fcbe2543f.png"", ""/kaggle/input/rsna-png/data/test/168f4fcb-a87d-49fc-b167-4ed42fd1ec43.png"", ""/kaggle/input/rsna-png/data/test/ffba6230-71cf-4287-a0d1-887f5d16e95d.png"", ""/kaggle/input/rsna-png/data/test/2f8fbfdc-56db-4eca-bf64-3c9a0637e28c.png"", ""/kaggle/input/rsna-png/data/test/a8e3ea7d-0b63-45cf-85d8-1078d3e2449d.png""]","[""normal"", ""normal"", ""normal"", ""normal"", ""normal""]","[null, null, null, null, null]"
/kaggle/input/rsna-png/data/test/5b12801f-aaf7-442e-b994-ec8f15ce78e5.png,normal,dino_correct_conv_wrong,False,True,"[""/kaggle/input/rsna-png/data/test/6b44464d-73a7-4cf3-bbb6-ffe7168300e3.annot.original.jpeg"", ""/kaggle/input/rsna-png/data/test/bc46651a-1314-44af-a834-1eb8a36e589e.png"", ""/kaggle/input/rsna-png/data/test/a0b9597d-93f4-4a7c-a412-81cb78bccb66.png"", ""/kaggle/input/rsna-png/data/test/85bb48fe-e6d6-47de-bb71-d1636aced7dc.png"", ""/kaggle/input/rsna-png/data/test/fc958b63-5da8-448d-8962-3c5167dc9410.png""]","[""COVID-19"", ""normal"", ""normal"", ""normal"", ""normal""]","[null, null, null, null, null]","[""/kaggle/input/rsna-png/data/test/354c3756-43ed-4921-adf8-60be49a8b7e8.png"", ""/kaggle/input/rsna-png/data/test/63192a6c-02ba-48a5-932a-bb82aeacb1bc.png"", ""/kaggle/input/rsna-png/data/test/99432aa3-8d61-4ff2-a79a-f0a0218d6fa2.png"", ""/kaggle/input/rsna-png/data/test/bca4aa4d-0cc9-4cc0-b06d-5b675194bf62.png"", ""/kaggle/input/rsna-png/data/test/633d9182-1809-41b7-a59b-1e60ac91f0c9.png""]","[""normal"", ""normal"", ""normal"", ""normal"", ""normal""]","[null, null, null, null, null]"
/kaggle/input/rsna-png/data/test/ec0492da-e6be-49cf-8b18-dc143180f1a2.png,normal,dino_correct_conv_wrong,False,True,"[""/kaggle/input/rsna-png/data/test/32a5977f-f8ab-41c9-9b51-5387248e4675.png"", ""/kaggle/input/rsna-png/data/test/dee054ff-0e1a-4167-b814-cbf339cf689c.png"", ""/kaggle/input/rsna-png/data/test/372b2fea-2013-4600-a06f-765c3f054a82.png"", ""/kaggle/input/rsna-png/data/test/5eb932e2-3455-40fe-93db-ae44f897d9e0.png"", ""/kaggle/input/rsna-png/data/test/1cdba4ee-0bb8-421d-9a24-7febeb399729.png""]","[""pneumonia"", ""normal"", ""normal"", ""normal"", ""normal""]","[null, null, null, null, null]","[""/kaggle/input/rsna-png/data/test/dfa57c1f-01fb-4417-a1b5-0641a9b4bb84.png"", ""/kaggle/input/rsna-png/data/test/c485a9bd-6e18-4328-8c5c-cf80f71aa35d.png"", ""/kaggle/input/rsna-png/data/test/b6db3041-1554-43ef-baca-58733b6717d6.png"", ""/kaggle/input/rsna-png/data/test/4b1cab8a-c9bd-40e6-bc86-23c6be98a099.png"", ""/kaggle/input/rsna-png/data/test/585f5059-8938-4885-accb-d7d0b1097c60.png""]","[""normal"", ""normal"", ""pneumonia"", ""normal"", ""normal""]","[null, null, null, null, null]"
/kaggle/input/rsna-png/data/test/bca4aa4d-0cc9-4cc0-b06d-5b675194bf62.png,normal,dino_correct_conv_wrong,False,True,"[""/kaggle/input/rsna-png/data/test/DX.1.2.840.113564.1722810162.20200326160333805210.1203801020003.png"", ""/kaggle/input/rsna-png/data/test/85d84453-ab2d-4666-98e6-5df3cbb81f5b.png"", ""/kaggle/input/rsna-png/data/test/c2b24ebd-2c40-48c3-ba39-177224dd7db0.png"", ""/kaggle/input/rsna-png/data/test/63f71157-7db6-476f-b320-ba2fcbe2543f.png"", ""/kaggle/input/rsna-png/data/test/766b8aea-3b43-4a34-b675-09f373ca066b.png""]","[""COVID-19"", ""normal"", ""normal"", ""normal"", ""normal""]","[null, null, null, null, null]","[""/kaggle/input/rsna-png/data/test/bc46651a-1314-44af-a834-1eb8a36e589e.png"", ""/kaggle/input/rsna-png/data/test/63192a6c-02ba-48a5-932a-bb82aeacb1bc.png"", ""/kaggle/input/rsna-png/data/test/99432aa3-8d61-4ff2-a79a-f0a0218d6fa2.png"", ""/kaggle/input/rsna-png/data/test/0bb24183-8b59-48f1-8bbf-4d889976fc82.png"", ""/kaggle/input/rsna-png/data/test/35cda03a-0898-4f8b-92d3-6f263aed23ff.png""]","[""normal"", ""normal"", ""normal"", ""normal"", ""normal""]","[null, null, null, null, null]"
/kaggle/input/rsna-png/data/test/3e1b619a-cdd9-495a-bcbf-a9d62b418991.png,normal,dino_correct_conv_wrong,False,True,"[""/kaggle/input/rsna-png/data/test/b51c3c24-f9aa-4039-9fc1-527a5567dff6.png"", ""/kaggle/input/rsna-png/data/test/34bf2fcd-131a-428c-9a21-cd2fa9041f9b.png"", ""/kaggle/input/rsna-png/data/test/85d84453-ab2d-4666-98e6-5df3cbb81f5b.png"", ""/kaggle/input/rsna-png/data/test/e1d23cbe-213d-48d6-a8c2-672c4e68285d.png"", ""/kaggle/input/rsna-png/data/test/16654_1_1.png""]","[""pneumonia"", ""normal"", ""normal"", ""normal"", ""COVID-19""]","[null, null, null, null, null]","[""/kaggle/input/rsna-png/data/test/fd7bad9a-1bff-49ec-9c6c-c9aae9e65726.png"", ""/kaggle/input/rsna-png/data/test/35cda03a-0898-4f8b-92d3-6f263aed23ff.png"", ""/kaggle/input/rsna-png/data/test/ac10f43e-03b8-43d2-bcae-6fe000542397.png"", ""/kaggle/input/rsna-png/data/test/2ed06be4-9f0e-4256-b8bf-a4b396cc6364.png"", ""/kaggle/input/rsna-png/data/test/7fb3786c-5045-4a90-981d-c55b53d4d5d3.png""]","[""normal"", ""normal"", ""pneumonia"", ""normal"", ""normal""]","[null, null, null, null, null]"
/kaggle/input/rsna-png/data/test/4dbc44ca-694a-4814-9a24-bc60c8d8d611.png,pneumonia,dino_correct_conv_wrong,False,True,"[""/kaggle/input/rsna-png/data/test/CR.1.2.840.113564.1722810170.20200321001546031810.1003000225002.png"", ""/kaggle/input/rsna-png/data/test/streptococcus-pneumoniae-pneumonia-temporal-evolution-1-day1.jpg"", ""/kaggle/input/rsna-png/data/test/streptococcus-pneumoniae-pneumonia-temporal-evolution-1-day3.jpg"", ""/kaggle/input/rsna-png/data/test/05d3817a-5535-4e77-8dda-d4412e496c81.png"", ""/kaggle/input/rsna-png/data/test/6565a9e6-3f01-4de8-a18d-ade3121c5d7c.png""]","[""COVID-19"", ""pneumonia"", ""pneumonia"", ""pneumonia"", ""pneumonia""]","[null, null, null, null, null]","[""/kaggle/input/rsna-png/data/test/3f504abe-2133-4e09-98af-743cdea486f9.png"", ""/kaggle/input/rsna-png/data/test/bd8facb9-dce0-4048-8249-e6078b28e1b7.png"", ""/kaggle/input/rsna-png/data/test/e9e58e10-2795-4dec-a738-c9792ea8f685.png"", ""/kaggle/input/rsna-png/data/test/7817b551-d220-479b-815f-395f83e1dba1.png"", ""/kaggle/input/rsna-png/data/test/b021293c-4dd0-450c-b1a4-2d72cedab0a2.png""]","[""pneumonia"", ""pneumonia"", ""pneumonia"", ""pneumonia"", ""pneumonia""]","[null, null, null, null, null]"
/kaggle/input/rsna-png/data/test/3f504abe-2133-4e09-98af-743cdea486f9.png,pneumonia,dino_correct_conv_wrong,False,True,"[""/kaggle/input/rsna-png/data/test/1B734A89-A1BF-49A8-A1D3-66FAFA4FAC5D.jpeg"", ""/kaggle/input/rsna-png/data/test/covid-19-pneumonia-44-day-0.jpeg"", ""/kaggle/input/rsna-png/data/test/COVID-94.png"", ""/kaggle/input/rsna-png/data/test/436dce2a-06c3-4281-bb8e-840497a49381.png"", ""/kaggle/input/rsna-png/data/test/88de9d8c39e946abd495b37cd07d89e5-0666-0.jpg""]","[""COVID-19"", ""COVID-19"", ""COVID-19"", ""normal"", ""COVID-19""]","[null, null, null, null, null]","[""/kaggle/input/rsna-png/data/test/4dbc44ca-694a-4814-9a24-bc60c8d8d611.png"", ""/kaggle/input/rsna-png/data/test/fcd159f4-21d3-4169-a94b-95a2b5ccddcb.png"", ""/kaggle/input/rsna-png/data/test/3766b0a6-1769-4d82-b081-fa53531de34e.png"", ""/kaggle/input/rsna-png/data/test/393b8e45-6d97-4013-8100-27ebf07a1dad.png"", ""/kaggle/input/rsna-png/data/test/b021293c-4dd0-450c-b1a4-2d72cedab0a2.png""]","[""pneumonia"", ""pneumonia"", ""pneumonia"", ""pneumonia"", ""pneumonia""]","[null, null, null, null, null]"
/kaggle/input/rsna-png/data/test/070c921f-171c-420c-915b-e49e3f600c38.png,pneumonia,dino_correct_conv_wrong,False,True,"[""/kaggle/input/rsna-png/data/test/CR.1.2.840.113564.1722810170.20200321002029359840.1003000225002.png"", ""/kaggle/input/rsna-png/data/test/CR.1.2.840.113564.1722810170.202004040240155151.1003000225002.png"", ""/kaggle/input/rsna-png/data/test/B2D20576-00B7-4519-A415-72DE29C90C34.jpeg"", ""/kaggle/input/rsna-png/data/test/16654_2_1.jpg"", ""/kaggle/input/rsna-png/data/test/88de9d8c39e946abd495b37cd07d89e5-6531-0.jpg""]","[""COVID-19"", ""COVID-19"", ""COVID-19"", ""COVID-19"", ""COVID-19""]","[null, null, null, null, null]","[""/kaggle/input/rsna-png/data/test/bd8facb9-dce0-4048-8249-e6078b28e1b7.png"", ""/kaggle/input/rsna-png/data/test/caa545b4-4eea-4e3a-90b1-c4c0789a1109.png"", ""/kaggle/input/rsna-png/data/test/1414c7d6-dff3-453c-8322-b25bb5899d78.png"", ""/kaggle/input/rsna-png/data/test/b021293c-4dd0-450c-b1a4-2d72cedab0a2.png"", ""/kaggle/input/rsna-png/data/test/02002619-3dea-4038-8d4d-458db30ed8de.png""]","[""pneumonia"", ""pneumonia"", ""pneumonia"", ""pneumonia"", ""pneumonia""]","[null, null, null, null, null]"
/kaggle/input/rsna-png/data/test/bd9af100-1805-4e0a-8875-4a4b7195f0d8.png,pneumonia,dino_correct_conv_wrong,False,True,"[""/kaggle/input/rsna-png/data/test/COVID-00036.jpg"", ""/kaggle/input/rsna-png/data/test/88de9d8c39e946abd495b37cd07d89e5-6531-0.jpg"", ""/kaggle/input/rsna-png/data/test/B2D20576-00B7-4519-A415-72DE29C90C34.jpeg"", ""/kaggle/input/rsna-png/data/test/16654_4_1.jpg"", ""/kaggle/input/rsna-png/data/test/CR.1.2.840.113564.1722810170.202004040240155151.1003000225002.png""]","[""COVID-19"", ""COVID-19"", ""COVID-19"", ""COVID-19"", ""COVID-19""]","[null, null, null, null, null]","[""/kaggle/input/rsna-png/data/test/03a9498c-549d-4e7d-800b-e74797f7f625.png"", ""/kaggle/input/rsna-png/data/test/1c0a780d-1cac-4eee-b46d-470ecebc9ae0.png"", ""/kaggle/input/rsna-png/data/test/393b8e45-6d97-4013-8100-27ebf07a1dad.png"", ""/kaggle/input/rsna-png/data/test/3c8cc0d1-be7f-493d-9570-542d851f623b.png"", ""/kaggle/input/rsna-png/data/test/02002619-3dea-4038-8d4d-458db30ed8de.png""]","[""pneumonia"", ""pneumonia"", ""pneumonia"", ""pneumonia"", ""pneumonia""]","[null, null, null, null, null]"
/kaggle/input/rsna-png/data/test/37f17069-62ce-42ff-9fa4-d6a1056bd075.png,pneumonia,dino_correct_conv_wrong,False,True,"[""/kaggle/input/rsna-png/data/test/COVID-116.png"", ""/kaggle/input/rsna-png/data/test/afe1b6e2-203e-4ee5-856a-2f205d8bca2a.png"", ""/kaggle/input/rsna-png/data/test/DX.1.2.840.113564.1722810162.20200322024635362290.1203801020003.png"", ""/kaggle/input/rsna-png/data/test/CR.1.2.840.113564.1722810170.20200320072856343530.1003000225002.png"", ""/kaggle/input/rsna-png/data/test/b6db3041-1554-43ef-baca-58733b6717d6.png""]","[""COVID-19"", ""pneumonia"", ""COVID-19"", ""COVID-19"", ""pneumonia""]","[null, null, null, null, null]","[""/kaggle/input/rsna-png/data/test/0d9b1283-fc24-4fd3-a520-bc5d563e13e1.png"", ""/kaggle/input/rsna-png/data/test/af2ff93b-2f33-4c91-bde1-1490fc435b50.png"", ""/kaggle/input/rsna-png/data/test/e1d23cbe-213d-48d6-a8c2-672c4e68285d.png"", ""/kaggle/input/rsna-png/data/test/6df82c7a-a91e-487c-ae3a-9022b17d7c7a.png"", ""/kaggle/input/rsna-png/data/test/b42eaeb8-b6d3-41d7-836c-56fd0922abf6.png""]","[""pneumonia"", ""pneumonia"", ""normal"", ""pneumonia"", ""pneumonia""]","[null, null, null, null, null]"
/kaggle/input/rsna-png/data/test/afe1b6e2-203e-4ee5-856a-2f205d8bca2a.png,pneumonia,dino_correct_conv_wrong,False,True,"[""/kaggle/input/rsna-png/data/test/CR.1.2.840.113564.1722810170.20200320072856343530.1003000225002.png"", ""/kaggle/input/rsna-png/data/test/ac648f87-a79f-4ce0-9439-23a8dd886b71.png"", ""/kaggle/input/rsna-png/data/test/DX.1.2.840.113564.1722810162.20200322024635362290.1203801020003.png"", ""/kaggle/input/rsna-png/data/test/acb5c720-f741-415c-993c-65855be08ffa.png"", ""/kaggle/input/rsna-png/data/test/6565a9e6-3f01-4de8-a18d-ade3121c5d7c.png""]","[""COVID-19"", ""pneumonia"", ""COVID-19"", ""pneumonia"", ""pneumonia""]","[null, null, null, null, null]","[""/kaggle/input/rsna-png/data/test/ae06b30f-ae30-40d3-b237-c934ce499774.png"", ""/kaggle/input/rsna-png/data/test/02002619-3dea-4038-8d4d-458db30ed8de.png"", ""/kaggle/input/rsna-png/data/test/1414c7d6-dff3-453c-8322-b25bb5899d78.png"", ""/kaggle/input/rsna-png/data/test/ac648f87-a79f-4ce0-9439-23a8dd886b71.png"", ""/kaggle/input/rsna-png/data/test/41bf2042-53a2-44a8-9a29-55e643af5ac0.png""]","[""pneumonia"", ""pneumonia"", ""pneumonia"", ""pneumonia"", ""pneumonia""]","[null, null, null, null, null]"
